Element,Direction,Pat,Major_Functional_Class,TERM
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of angiogenesis
VEGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of epithelial cell proliferation
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive chemotaxis
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of positive chemotaxis
VEGF,Decrease,Pat1Micsta,Immune cell positioning,induction of positive chemotaxis
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of mast cell chemotaxis
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,vascular wound healing
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration involved in sprouting angiogenesis
VEGF,Decrease,Pat1Micsta,Immune cell positioning,motor neuron migration
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of trophoblast cell migration
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of lymphangiogenesis
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of miRNA transcription
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of establishment of endothelial barrier
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of adherens junction organization
VEGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of sprouting angiogenesis
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of epithelial tube formation
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of blood-brain barrier permeability
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of cell-cell adhesion mediated by cadherin
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of endothelial cell chemotaxis
MMP-2,Increase,Pat1Micsta,Tissue construction / repair,angiogenesis
MMP-2,Increase,Pat1Micsta,Resolution,negative regulation of cell adhesion
MMP-2,Increase,Pat1Micsta,Tissue construction / repair,peripheral nervous system axon regeneration
MMP-2,Increase,Pat1Micsta,Immune cell positioning,cell migration
MMP-2,Increase,Pat1Micsta,Tissue construction / repair,extracellular matrix organization
MMP-2,Increase,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
MMP-2,Increase,Pat1Micsta,Resolution,negative regulation of vasoconstriction
MMP-2,Increase,Pat1Micsta,Immune cell positioning,macrophage chemotaxis
MMP-2,Increase,Pat1Micsta,Tissue destruction,positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
MMP-2,Increase,Pat1Micsta,Immune cell amplification,positive regulation of vascular associated smooth muscle cell proliferation
RANKL,Decrease,Pat1Micsta,Resolution,negative regulation of transcription by RNA polymerase II
RANKL,Decrease,Pat1Micsta,Immune cell amplification,osteoclast proliferation
RANKL,Decrease,Pat1Micsta,Immune cell positioning,monocyte chemotaxis
RANKL,Decrease,Pat1Micsta,Bone remodeling,osteoclast differentiation
RANKL,Decrease,Pat1Micsta,Immune cell amplification,mammary gland epithelial cell proliferation
RANKL,Decrease,Pat1Micsta,Bone remodeling,osteoclast development
RANKL,Decrease,Pat1Micsta,Tissue destruction,bone resorption
RANKL,Decrease,Pat1Micsta,Bone remodeling,positive regulation of osteoclast differentiation
RANKL,Decrease,Pat1Micsta,Tissue destruction,positive regulation of bone resorption
RANKL,Decrease,Pat1Micsta,Immune cell activation,positive regulation of T cell activation
RANKL,Decrease,Pat1Micsta,Bone remodeling,positive regulation of osteoclast development
RANKL,Decrease,Pat1Micsta,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
GDF-15,Increase,Pat1Micsta,Immune cell positioning,negative regulation of leukocyte migration
GDF-15,Increase,Pat1Micsta,Resolution,negative regulation of transforming growth factor beta receptor signaling pathway
GDF-15,Increase,Pat1Micsta,Resolution,negative regulation of appetite
GDF-15,Increase,Pat1Micsta,Resolution,negative regulation of multicellular organism growth
GDF-15,Increase,Pat1Micsta,Resolution,negative regulation of SMAD protein signal transduction
GDF-15,Increase,Pat1Micsta,Resolution,negative regulation of growth hormone receptor signaling pathway
Periostin,Increase,Pat1Micsta,Resolution,negative regulation of cell-matrix adhesion
Periostin,Increase,Pat1Micsta,Immune cell positioning,positive regulation of smooth muscle cell migration
Periostin,Increase,Pat1Micsta,Tissue construction / repair,extracellular matrix organization
Periostin,Increase,Pat1Micsta,Resolution,negative regulation of substrate adhesion-dependent cell spreading
Periostin,Increase,Pat1Micsta,Tissue construction / repair,bone regeneration
MMP-8,Increase,Pat2,Tissue construction / repair,extracellular matrix organization
MMP-8,Increase,Pat2,Immune cell activation,positive regulation of microglial cell activation
Eotaxin-2,Increase,Pat4,Immune cell amplification,positive regulation of endothelial cell proliferation
Eotaxin-2,Increase,Pat4,Immune cell positioning,chemotaxis
Eotaxin-2,Increase,Pat4,Immune cell positioning,positive regulation of cell migration
Eotaxin-2,Increase,Pat4,Tissue construction / repair,positive regulation of angiogenesis
Eotaxin-2,Increase,Pat4,Immune cell positioning,eosinophil chemotaxis
Eotaxin-2,Increase,Pat4,Immune cell positioning,positive regulation of eosinophil migration
IL-8,Decrease,Pat4,Tissue construction / repair,angiogenesis
IL-8,Decrease,Pat4,Immune cell positioning,chemotaxis
IL-8,Decrease,Pat4,Immune cell amplification,negative regulation of cell population proliferation
IL-8,Decrease,Pat4,Resolution,negative regulation of gene expression
IL-8,Decrease,Pat4,Immune cell positioning,neutrophil chemotaxis
IL-8,Decrease,Pat4,Immune cell activation,neutrophil activation
IL-8,Decrease,Pat4,Resolution,negative regulation of G protein-coupled receptor signaling pathway
IL-8,Decrease,Pat4,Tissue construction / repair,positive regulation of angiogenesis
IL-8,Decrease,Pat4,Immune cell positioning,induction of positive chemotaxis
IL-8,Decrease,Pat4,Resolution,negative regulation of cell adhesion molecule production
IL-8,Decrease,Pat4,Immune cell positioning,positive regulation of neutrophil chemotaxis
MMP-1,Decrease,Pat4,Tissue construction / repair,extracellular matrix organization
MMP-10,Decrease,Pat4,Tissue construction / repair,extracellular matrix organization
RANKL,Decrease,Pat4,Resolution,negative regulation of transcription by RNA polymerase II
RANKL,Decrease,Pat4,Immune cell amplification,osteoclast proliferation
RANKL,Decrease,Pat4,Immune cell positioning,monocyte chemotaxis
RANKL,Decrease,Pat4,Bone remodeling,osteoclast differentiation
RANKL,Decrease,Pat4,Immune cell amplification,mammary gland epithelial cell proliferation
RANKL,Decrease,Pat4,Bone remodeling,osteoclast development
RANKL,Decrease,Pat4,Tissue destruction,bone resorption
RANKL,Decrease,Pat4,Bone remodeling,positive regulation of osteoclast differentiation
RANKL,Decrease,Pat4,Tissue destruction,positive regulation of bone resorption
RANKL,Decrease,Pat4,Immune cell activation,positive regulation of T cell activation
RANKL,Decrease,Pat4,Bone remodeling,positive regulation of osteoclast development
RANKL,Decrease,Pat4,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
Periostin,Decrease,Pat4,Resolution,negative regulation of cell-matrix adhesion
Periostin,Decrease,Pat4,Immune cell positioning,positive regulation of smooth muscle cell migration
Periostin,Decrease,Pat4,Tissue construction / repair,extracellular matrix organization
Periostin,Decrease,Pat4,Resolution,negative regulation of substrate adhesion-dependent cell spreading
Periostin,Decrease,Pat4,Tissue construction / repair,bone regeneration
Granzyme B,Decrease,Pat7,Tissue destruction,apoptotic process
Granzyme B,Decrease,Pat7,Resolution,negative regulation of translation
Granzyme B,Decrease,Pat7,Tissue destruction,granzyme-mediated programmed cell death signaling pathway
TRAIL,Decrease,Pat7,Tissue destruction,apoptotic process
TRAIL,Decrease,Pat7,Tissue destruction,TRAIL-activated apoptotic signaling pathway
TRAIL,Decrease,Pat7,Tissue destruction,positive regulation of apoptotic process
TRAIL,Decrease,Pat7,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
HSP70,Decrease,Pat7,Resolution,negative regulation of transcription by RNA polymerase II
HSP70,Decrease,Pat7,Immune cell amplification,negative regulation of cell population proliferation
HSP70,Decrease,Pat7,Resolution,negative regulation of cell growth
HSP70,Decrease,Pat7,Resolution,negative regulation of transforming growth factor beta receptor signaling pathway
HSP70,Decrease,Pat7,Resolution,negative regulation of protein ubiquitination
HSP70,Decrease,Pat7,Resolution,negative regulation of apoptotic process
HSP70,Decrease,Pat7,Resolution,negative regulation of inclusion body assembly
HSP70,Decrease,Pat7,Resolution,negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
HSP70,Decrease,Pat7,Resolution,negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
HSP70,Decrease,Pat7,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
EGF,Decrease,Pat7,Tissue construction / repair,angiogenesis
EGF,Decrease,Pat7,Immune cell amplification,positive regulation of endothelial cell proliferation
EGF,Decrease,Pat7,Immune cell amplification,positive regulation of cell population proliferation
EGF,Decrease,Pat7,Immune cell positioning,positive regulation of endothelial cell migration
EGF,Decrease,Pat7,Immune cell amplification,cerebellar granule cell precursor proliferation
EGF,Decrease,Pat7,Immune cell amplification,positive regulation of cerebellar granule cell precursor proliferation
EGF,Decrease,Pat7,Immune cell positioning,positive regulation of cell migration
EGF,Decrease,Pat7,Immune cell activation,regulation of receptor signaling pathway via JAK-STAT
EGF,Decrease,Pat7,Tissue construction / repair,branching morphogenesis of an epithelial tube
EGF,Decrease,Pat7,Immune cell amplification,epithelial cell proliferation
EGF,Decrease,Pat7,Resolution,negative regulation of secretion
EGF,Decrease,Pat7,Resolution,negative regulation of cholesterol efflux
EGF,Decrease,Pat7,Tissue construction / repair,positive regulation of epithelial tube formation
TGF-A,Decrease,Pat7,Tissue construction / repair,angiogenesis
TGF-A,Decrease,Pat7,Immune cell amplification,positive regulation of cell population proliferation
TGF-A,Decrease,Pat7,Immune cell amplification,positive regulation of epithelial cell proliferation
TGF-A,Decrease,Pat7,Immune cell amplification,hepatocyte proliferation
G-CSF,Decrease,Pat7,Immune cell amplification,positive regulation of cell population proliferation
Flt-3L,Decrease,Pat7,Immune cell amplification,positive regulation of cell population proliferation
GM-CSF,Decrease,Pat7,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
GM-CSF,Decrease,Pat7,Immune cell amplification,cell population proliferation
GM-CSF,Decrease,Pat7,Immune cell amplification,positive regulation of cell population proliferation
GM-CSF,Decrease,Pat7,Immune cell positioning,positive regulation of cell migration
GM-CSF,Decrease,Pat7,Tissue construction / repair,epithelial fluid transport
GM-CSF,Decrease,Pat7,Resolution,negative regulation of DNA-templated transcription
GM-CSF,Decrease,Pat7,Immune cell amplification,positive regulation of leukocyte proliferation
GM-CSF,Decrease,Pat7,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
Fractalkine,Decrease,Pat7,Immune cell activation,microglial cell activation
Fractalkine,Decrease,Pat7,Immune cell amplification,positive regulation of neuroblast proliferation
Fractalkine,Decrease,Pat7,Immune cell positioning,leukocyte migration involved in inflammatory response
Fractalkine,Decrease,Pat7,Immune cell positioning,chemotaxis
Fractalkine,Decrease,Pat7,Immune cell amplification,positive regulation of cell population proliferation
Fractalkine,Decrease,Pat7,Resolution,negative regulation of cell-substrate adhesion
Fractalkine,Decrease,Pat7,Immune cell positioning,positive regulation of cell migration
Fractalkine,Decrease,Pat7,Immune cell positioning,negative regulation of cell migration
Fractalkine,Decrease,Pat7,Immune cell positioning,neutrophil chemotaxis
Fractalkine,Decrease,Pat7,Immune cell positioning,leukocyte chemotaxis
Fractalkine,Decrease,Pat7,Resolution,negative regulation of interleukin-1 alpha production
Fractalkine,Decrease,Pat7,Resolution,negative regulation of interleukin-1 beta production
Fractalkine,Decrease,Pat7,Resolution,negative regulation of interleukin-6 production
Fractalkine,Decrease,Pat7,Resolution,negative regulation of tumor necrosis factor production
Fractalkine,Decrease,Pat7,Immune cell activation,integrin activation
Fractalkine,Decrease,Pat7,Resolution,negative regulation of apoptotic process
Fractalkine,Decrease,Pat7,Tissue construction / repair,positive regulation of angiogenesis
Fractalkine,Decrease,Pat7,Immune cell positioning,eosinophil chemotaxis
Fractalkine,Decrease,Pat7,Immune cell positioning,macrophage chemotaxis
Fractalkine,Decrease,Pat7,Immune cell positioning,lymphocyte chemotaxis
Fractalkine,Decrease,Pat7,Immune cell amplification,positive regulation of smooth muscle cell proliferation
Fractalkine,Decrease,Pat7,Immune cell activation,leukocyte adhesive activation
Fractalkine,Decrease,Pat7,Immune cell positioning,positive chemotaxis
Fractalkine,Decrease,Pat7,Tissue construction / repair,angiogenesis involved in wound healing
Fractalkine,Decrease,Pat7,Immune cell positioning,cell chemotaxis
Fractalkine,Decrease,Pat7,Immune cell amplification,microglial cell proliferation
Fractalkine,Decrease,Pat7,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
Fractalkine,Decrease,Pat7,Resolution,negative regulation of hippocampal neuron apoptotic process
Fractalkine,Decrease,Pat7,Resolution,negative regulation of glutamate receptor signaling pathway
Fractalkine,Decrease,Pat7,Immune cell activation,negative regulation of microglial cell activation
Fractalkine,Decrease,Pat7,Immune cell positioning,positive regulation of microglial cell migration
Fractalkine,Decrease,Pat7,Immune cell positioning,negative regulation of neuron migration
Fractalkine,Decrease,Pat7,Resolution,negative regulation of apoptotic signaling pathway
